Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
143,143,Sep 8 (2),,CHC,W6-5,37,30,6,7,2,1,2,6,7,0,8,0,0,0,0,1,0,0,.252,.330,.415,.745,7,18,L,C.Hamels (51)
144,144,Sep 11 (1),@,PHI,W3-1,38,33,3,10,1,0,1,3,5,0,4,0,0,0,0,1,0,0,.253,.331,.415,.746,8,15,R,N.Pivetta (47)
145,145,Sep 11 (2),@,PHI,W7-6,43,35,7,6,2,0,2,7,7,0,12,1,0,0,0,1,1,0,.252,.331,.415,.746,6,23,R,J.Arrieta (54)
146,146,Sep 12,@,PHI,W5-1,36,35,5,9,3,0,3,5,1,0,9,0,0,0,0,1,0,0,.252,.330,.416,.747,4,12,R,A.Nola (43)
147,147,Sep 13,,CHC,L3-4,42,37,3,7,1,0,1,3,4,1,8,0,0,1,0,0,2,0,.252,.330,.415,.745,9,20,L,M.Montgomery (49)
148,148,Sep 14,@,ATL,L5-10,41,33,5,9,4,0,1,5,6,0,3,1,0,1,0,1,1,0,.252,.330,.416,.746,9,18,R,K.Gausman (40)
149,149,Sep 15,@,ATL,W7-1,47,32,7,7,3,0,0,7,14,1,11,0,1,0,0,0,6,1,.252,.331,.415,.747,13,15,R,J.Teheran (49)
150,150,Sep 16,@,ATL,W6-4,42,37,6,11,0,0,2,6,5,0,4,0,0,0,0,1,0,0,.252,.332,.416,.747,9,15,L,S.Newcomb (28)
151,151,Sep 17,@,MIA,L5-8,36,34,5,7,1,0,2,5,2,1,10,0,0,0,1,1,0,0,.252,.331,.416,.747,4,18,R,T.Richards (46)
152,152,Sep 18,@,MIA,W4-2,45,32,4,9,1,0,0,4,10,0,7,1,1,1,0,1,1,1,.252,.332,.415,.747,14,16,R,S.Alcantara (35)
153,153,Sep 20,,NYM,L4-5,49,44,4,9,2,0,1,4,5,1,14,0,0,0,1,0,1,2,.251,.332,.414,.746,9,21,L,J.Vargas (61)
154,154,Sep 21,,NYM,L2-4,33,30,2,6,1,0,0,2,2,0,10,0,0,1,0,1,0,0,.251,.331,.413,.744,4,13,R,J.deGrom (74)
155,155,Sep 22,,NYM,W6-0,35,30,6,7,4,0,2,6,4,1,5,1,0,0,0,0,1,1,.251,.331,.414,.745,5,15,R,C.Oswalt (53)
