"","X1","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"123",244,82,"Sunday Jul 1","boxscore","ATL","@","STL","W",6,5,NA,"48-34",1,"up 3.0","Foltynewicz","Gant","Minter",03:11:00,"D",46448,"+++",NA
"124",245,83,"Monday Jul 2","boxscore","ATL","@","NYY","W",5,3,11,"49-34",1,"up 3.5","Biddle","Robertson","Minter",03:53:00,"N",43792,"++++",NA
"125",246,84,"Tuesday Jul 3","boxscore","ATL","@","NYY","L",5,8,NA,"49-35",1,"up 2.5","Cole","Newcomb","Chapman",03:46:00,"N",45448,"-",NA
"126",247,85,"Wednesday Jul 4","boxscore","ATL","@","NYY","L",2,6,NA,"49-36",1,"up 1.5","Sabathia","Teheran",NA,03:07:00,"D",46658,"--",NA
"127",248,86,"Thursday Jul 5","boxscore","ATL","@","MIL","L",2,7,NA,"49-37",1,"up 1.0","Chacin","Fried","Jennings",02:45:00,"N",27557,"---",NA
"128",249,87,"Friday Jul 6","boxscore","ATL","@","MIL","L",4,5,NA,"49-38",1,"Tied","Peralta","Foltynewicz","Knebel",02:47:00,"N",31452,"----",NA
"129",250,88,"Saturday Jul 7","boxscore","ATL","@","MIL","W",5,1,NA,"50-38",1,"Tied","Sanchez","Wilkerson",NA,03:06:00,"D",38813,"+",NA
"130",251,89,"Sunday Jul 8","boxscore","ATL","@","MIL","L",3,10,NA,"50-39",1,"Tied","Guerra","Newcomb",NA,03:24:00,"D",43262,"-",NA
"131",257,95,"Friday Jul 20","boxscore","ATL","@","WSN","W",8,5,NA,"53-42",2,"0.5","Sanchez","Strasburg","Minter",02:57:00,"N",41008,"++",NA
"132",258,96,"Sunday Jul 22","boxscore","ATL","@","WSN","L",2,6,NA,"53-43",2,"1.0","Scherzer","Foltynewicz","Herrera",03:26:00,"D",39063,"-",NA
"133",259,97,"Monday Jul 23","boxscore","ATL","@","MIA","W",12,1,NA,"54-43",1,"Tied","Newcomb","Urena",NA,02:48:00,"N",8259,"+",NA
