"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"154",154,"Friday Sep 21","boxscore","ARI","","COL","L",2,6,NA,"79-75",3,"6.0","Marquez","Greinke","","2:54","N",28833,"-",NA
"155",155,"Saturday Sep 22","boxscore","ARI","","COL","L",1,5,NA,"79-76",3,"7.0","Senzatela","Corbin","","3:02","N",35094,"--",NA
"156",156,"Sunday Sep 23","boxscore","ARI","","COL","L",0,2,NA,"79-77",3,"8.0","Freeland","Godley","Davis","3:15","D",29191,"---",NA
"157",157,"Monday Sep 24","boxscore","ARI","","LAD","L",4,7,NA,"79-78",3,"9.0","Kershaw","Chafin","","3:33","N",26067,"----",NA
"158",158,"Tuesday Sep 25","boxscore","ARI","","LAD","W-wo",4,3,NA,"80-78",3,"8.0","Boxberger","Maeda","","3:23","N",25774,"+",NA
"159",159,"Wednesday Sep 26","boxscore","ARI","","LAD","W",7,2,NA,"81-78",3,"7.5","Greinke","Stripling","","3:14","N",31149,"++",NA
"160",160,"Friday Sep 28","boxscore","ARI","@","SDP","L-wo",2,3,15,"81-79",3,"9.0","Brewer","Andriese","","5:02","N",28055,"-",NA
"161",161,"Saturday Sep 29","boxscore","ARI","@","SDP","W",5,4,NA,"82-79",3,"8.0","Godley","Nix","Hirano","2:49","N",28024,"+",NA
"162",162,"Sunday Sep 30","boxscore","ARI","@","SDP","L-wo",3,4,10,"82-80",3,"9.0","Castillo","Barrett","","3:29","D",31243,"-",NA
"163",1,"Thursday Mar 29","boxscore","ATL","","PHI","W-wo",8,5,NA,"1-0",1,"Tied","Vizcaino","Neris","","3:28","D",40208,"+",NA
"164",2,"Friday Mar 30","boxscore","ATL","","PHI","L",4,5,11,"1-1",3,"0.5","Hutchison","Carle","","4:16","N",35123,"-",NA
"165",3,"Saturday Mar 31","boxscore","ATL","","PHI","W",15,2,NA,"2-1",3,"0.5","McCarthy","Velasquez","","3:21","N",37777,"+",NA
"166",4,"Monday Apr 2","boxscore","ATL","","WSN","L",1,8,NA,"2-2",3,"2.0","Roark","Newcomb","","2:55","N",25054,"-",NA
"167",5,"Tuesday Apr 3","boxscore","ATL","","WSN","W",13,6,NA,"3-2",3,"1.0","Carle","Cole","","3:10","N",26782,"+",NA
